Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G,2016,197,195,62.5,64.5,3.5,18-55,1,0,0,APS-C
Nikon ,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED,2016,347,400,125,72,4.5,70-300,1,0,0,APS-C
Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G VR,2016,247,205,62.5,64.5,3.5,18-55,1,1,0,APS-C
Olympus,M.Zuiko Digital ED 30mm f/3.5 Macro,2016,299,128,60,57,3.5,30,0,0,0,Micro Four Thirds
Olympus,M.Zuiko Digital ED 25mm f/1.2 PRO,2016,1199,410,87,70,1.2,25,0,0,0,Micro Four Thirds
Olympus,M.Zuiko Digital ED 12-100mm f/4 IS PRO,2016,1299,561,116.5,77.5,4,12-100,1,1,0,Micro Four Thirds
Rokinon,14mm f/2.8 IF ED UMC,2009,299,552,96.012,87.122,2.8,14,0,0,0,Full-Frame
Rokinon,Xeen 14mm T/3.1,2016,2145,1170,88.3,117.6,2.8,14,0,0,1,Full-Frame
Rokinon,24mm f/1.4 ED AS UMC,2011,549,634.2,97.536,83.058,1.4,24,0,0,0,Full-Frame
Rokinon,Xeen 24mm T/1.5,2015,2145,1180,121.7,117.6,1.4,24,0,0,1,Full-Frame
Rokinon,35mm f/1.4 AS UMC,2010,407,710,111.506,83.058,1.4,35,0,0,0,Full-Frame
Rokinon,Xeen 35mm T/1.5,2016,2145,1375,121.7,117.6,1.4,35,0,0,1,Full-Frame
Rokinon,50mm f/1.4 AS IF UMC,2014,399,536,73.66,81.28,1.4,50,0,0,0,Full-Frame
Rokinon,Xeen 50mm T/1.5,2015,2145,1160,121.7,117.6,1.4,50,0,0,1,Full-Frame
Rokinon,85mm f/1.4 AS IF UMC,2009,267,540,74.676,77.978,1.4,85,0,0,0,Full-Frame
Rokinon,Xeen 85mm T/1.5,2015,2145,1245,121.7,117.6,1.4,85,0,0,1,Full-Frame
Rokinon,AF 50mm f/1.4 FE,2016,700,585,98,67,1.4,50,0,0,0,Full-Frame
Rokinon,Xeen 135mm T/2.2,2016,2195,2500,122,118,2.2,135,0,1,1,Full-Frame
Samyang,14mm Ultra Wide-Angle f/2.8 IF ED UMC,2016,329,552,96.1,87,2.8,14,0,0,0,APS-C
Samyang,8mm f/3.5 HD Fisheye,2009,279,428,77.3,75,3.5,8,0,0,0,APS-C
Samyang,135mm f/2.0 ED UMC,2015,499,815,120,82,2,135,0,0,0,Full-Frame
Samyang,85mm f/1.4 Aspherical,2009,289,520,72.2,78,1.4,85,0,0,0,Full-Frame
Schneider,PC-TS Super-Angulon 28mm f/4.5 HM Aspheric,2014,8288,1610,144.78,124.968,4.5,28,0,0,0,Full-Frame
Schneider,PC-TS Super-Angulon 50mm f/2.8 HM,2010,3365,1400,107.95,129.032,2.8,50,0,0,0,Full-Frame
Schneider,PC-TS Makro-Symmar 90mm f/4.5 HM,2010,3180,1110,138.684,107.95,4.5,90,0,0,0,Full-Frame
Sigma,19mm f/2.8 DN Art,2012,199,150,45.72,60.706,2.8,19,0,0,0,Micro Four Thirds
Sigma,20mm f/1.4 DG HSM Art,2015,899,950,129.794,90.678,1.4,20,0,0,0,Full-Frame
Sigma,24mm f/1.4 DG HSM Art,2015,850,665,90.17,85.09,1.4,24,0,0,0,Full-Frame
Sigma,30mm f/2.8 DN Art,2012,199,150,40.386,60.706,2.8,30,0,0,0,Micro Four Thirds
Sigma,30mm f/1.4 DC Contemporary,2016,339,265,73.406,64.77,1.4,30,0,0,0,APS-C
Sigma,35mm f/1.4 DG HSM Art,2012,899,665,93.98,76.962,1.4,35,0,0,0,Full-Frame
Sigma,50mm f/1.4 DG HSM Art,2014,949,815,99.822,85.344,1.4,50,0,0,0,Full-Frame
Sigma,60mm f/2.8 DN Art,2012,209,150,55.88,60.96,2.8,60,0,0,0,Micro Four Thirds
Sigma,85mm f/1.4 EX DG HSM,2010,969,725,86.36,86.36,1.4,85,0,0,0,Full-Frame
Sigma,120-300mm f/2.8 DG OS HSM Sport,2012,3599,3390,291.084,121.412,2.8,120-300,1,1,0,Full-Frame
Sigma,24-35mm f/2 DG HSM Art,2015,999,941,121.92,86.36,2,24-35,1,0,0,Full-Frame
Sigma,150-600mm f/5-6.3 DG OS HSM,2015,989,1950,259,104,5,150-600,1,1,0,Full-Frame
Sigma,150-600mm f/5-6.3 DG OS HSM Sport,2015,1999,2860,290,122,5,150-600,1,1,0,Full-Frame
Sigma,85mm f/1.4 DG HSM Art,2016,1199,,126.2,94.7,1.4,85,0,0,0,Full-Frame
Sigma,12-24mm f/4 DG HSM Art,2016,1599,1150,131.5,102,4,12-24,1,0,0,Full-Frame
Sigma,500mm f/4 DG OS HSM Sport,2016,5999,3310,380.3,144.8,4,500,0,1,0,Full-Frame
Sigma,50-100mm f/1.8 DC HSM Art,2016,1099,1490,170.7,93.5,1.8,50-100,1,0,0,APS-C
Sony,FE 28mm f/2,2015,448,200,59.944,64.008,2,28,0,0,0,Full-Frame
Sony,Sonnar T* FE 35mm f/2.8 ZA,2013,798,120,36.576,61.468,2.8,35,0,0,0,Full-Frame
Sony,Distagon T* FE 35mm f/1.4 ZA,2015,1598,630,112.014,78.486,1.4,35,0,0,0,Full-Frame
Sony,FE 50mm f/1.8,2016,248,186,59.436,68.58,1.8,50,0,0,0,Full-Frame
Sony,Sonnar T* FE 55mm f/1.8 ZA,2013,998,281,70.612,64.516,1.8,55,0,0,0,Full-Frame
Sony,FE 85mm f/1.4 GM,2016,1798,820,107.442,89.408,1.4,85,0,0,0,Full-Frame
Sony,FE 90mm f/2.8 Macro G OSS,2015,602,130.556,130.556,78.994,2.8,90,0,1,0,Full-Frame
Sony,Vario-Tessar T* FE 16-35mm f/4 ZA OSS,2014,1348,518,98.552,77.978,4,16-36,1,1,0,Full-Frame
Sony,FE 24-240mm f/3.5-6.3 OSS,2015,998,780,118.618,80.518,6.3,24-240,1,1,0,Full-Frame
Sony,Vario-Tessar T* FE 24-70mm f/4 ZA OSS,2013,1198,430,944.88,72.898,4,24-70,1,1,0,Full-Frame
Sony,FE 24-70mm f/2.8 GM,2016,2198,886,131.075,87.63,2.8,24-70,1,1,0,Full-Frame
Sony,FE PZ 28-135mm f/4 G OSS,2014,2498,1215,165.1,101.6,4,28-135,1,1,0,Full-Frame
Sony,FE 70-200mm f/4.0 G OSS,2013,1498,840,175.006,80.01,4,70-200,1,1,0,Full-Frame
Sony,FE 70-200mm f/2.8 GM OSS,2016,3000,1480,199.898,87.884,2.8,70-200,1,1,0,Full-Frame
Sony,FE 70-300mm f/4.5-5.6G OSS,2016,1198,854,143.51,84.074,5.6,70-300,1,1,0,Full-Frame
Sony,Planar T* FE 50mm f/1.4 ZA,2016,1498,778,108,83.5,1.4,50,0,0,0,Full-Frame
Tamron,SP 35mm f/1.8 Di VC USD,2015,599,450.77,78.74,80.518,1.8,35,0,1,0,Full-Frame
Tamron,SP 45mm f/1.8 Di VC USD,2015,599,498.95,88.9,3.17,1.8,45,0,1,0,Full-Frame
Tamron,SP 90mm f/2.8 Di Macro 1:1 VC USD,2012,749,550,114.554,76.454,2.8,90,0,1,0,Full-Frame
Tamron,SP 150-600mm f/5-6.3 Di VC USD,2013,1069,1950,257.81,105.664,6.3,150-600,1,1,0,Full-Frame
Tamron,SP 15-30mm f/2.8 Di VC USD,2014,1199,1100,143.002,98.298,2.8,15-30,1,1,0,Full-Frame
Tamron,SP 24-70mm f/2.8 Di VC USD,2012,1299,825,116.84,88.9,2.8,24-70,1,1,0,Full-Frame
Tamron,28-300mm f/3.5-6.3 Di VC PZD,2014,849,540,96.012,74.422,6.3,28-300,1,1,0,Full-Frame
Tamron,SP 70-200mm f/2.8 Di VC USD,2012,1499,1470,188.214,85.852,2.8,70-200,1,1,0,Full-Frame
Tamron,SP 70-300mm f/4-5.6 Di VC USD,2010,449,765,149.86,81.534,5.6,70-300,1,1,0,Full-Frame
Tamron,AF 28-75mm f2.8 XR DI LD,1992,499,508,91.9,73,2.8,28-75,1,0,0,Full-Frame
Tamron,SP 150-600mm f/5-6.3 Di VC USD G2,2016,1399,2010,260.2,108.4,5,150-600,1,1,0,Full-Frame
Tamron,SP 85mm f/1.8 Di VC USD,2016,749,700,91.3,84.8,1.8,85,0,1,0,Full-Frame
Tokina,100mm f/2.8 AT-X M100 AF Pro D,2006,379,540,94.996,73.66,2.8,100,0,0,0,Full-Frame
Tokina,AT-X 16-28mm f/2.8 Pro FX,2010,629,950,133.35,89.916,2.8,16-28,1,0,0,Full-Frame
Tokina,17-35mm f/4 Pro FX,2011,449,600,93.98,88.9,4,17-35,1,0,0,Full-Frame
Tokina,AT-X 24-70mm f/2.8 Pro FX,2015,999,1000,107.442,135.128,2.8,24-70,1,0,0,Full-Frame
Tokina,AT-X 70-200mm f/4 Pro FX VCM-S,2014,899,980,167.386,82.042,4,70-200,1,1,0,Full-Frame
Tokina,FiRIN 20mm f/2 FE MF,2016,,490,81.5,69,2,20,0,0,0,Full-Frame
Venus,Laowa 15mm f/4 Wide Angle 1:1 Macro,2015,499,410,64.7,83.8,4,15,0,0,0,Full-Frame
Venus,Laowa 60mm f/2.8 2X Ultra-Macro,2015,399,503,95,70,2.8,60,0,0,0,Full-Frame
Venus,Laowa STF 105mm f/2 (T/3.2),2016,699,745,98.9,76,2,105,0,0,0,Full-Frame
Venus,Laowa 12mm f/2.8 Zero-D,2016,949,609,82.8,74.8,2.8,12,0,0,0,Full-Frame
Voigtlander,10.5mm f/0.95 Aspherical,2014,1099,586,82.296,76.962,0.95,10.5,0,0,0,Micro Four Thirds
Voigtlander,Ultra-Wide Heliar 12mm f/5.6 II,2010,699,230,42.5,74.6,5.6,12,0,0,0,Full-Frame
Voigtlander,Super-Wide Heliar 15mm f/4.5 III,2014,699,247,55.2,64.8,4.5,15,0,0,0,Full-Frame
Voigtlander,17.5mm f/0.95 Aspherical,2012,899,540,80.01,63.5,0.95,17.5,0,0,0,Micro Four Thirds
Voigtlander,Color-Skopar 21mm f/4 P II,2014,419,136,25,55,4,21,0,0,0,Full-Frame
Voigtlander,Ultron 21mm f/1.8,2012,1049,412,92,69,1.8,21,0,0,0,Full-Frame
Voigtlander,Color-Skopar 25mm f/4P,2014,419,144,30,55,4,25,0,0,0,Full-Frame
Voigtlander,25mm f/0.95 Type II,2013,799,435,70.104,60.706,0.95,25,0,0,0,Micro Four Thirds
Voigtlander,Ultron 28mm f/2,2014,599,244,51,55,2,28,0,0,0,Full-Frame
Voigtlander,Ultron Aspherical 35mm f/1.7,2012,979,238,53,50.9,1.7,35,0,0,0,Full-Frame
Voigtlander,Nokton Classic 35mm f/1.4,2006,629,200,29,55,1.4,35,0,0,0,Full-Frame
Voigtlander,Nokton Aspherical 35mm f/1.2 II,2012,950,471,62,60.8,1.2,35,0,0,0,Full-Frame
Voigtlander,Nokton 40mm f/1.4,2008,449,175,30,55,1.4,40,0,0,0,Full-Frame
Voigtlander,42.5mm f/0.95 Aspherical,2014,799,571,74.676,64.262,0.95,42.5,0,0,0,Micro Four Thirds
Voigtlander,Nokton Aspherical 50mm f/1.5,2013,799,220,45.7,53.8,1.5,50,0,0,0,Full-Frame
Voigtlander,Nokton 50mm f/1.1,2008,899,428,57.2,69.6,1.1,50,0,0,0,Full-Frame
Voigtlander,Heliar 75mm f/1.8,2006,699,427,57.9,73.8,1.8,75,0,0,0,Full-Frame
Zeiss,Distagon T* 15mm f/2.8 ZE,2012,2950,820,134.874,103.124,2.8,15,0,0,0,Full-Frame
Zeiss,Distagon T* 15mm f/2.8 ZM,2006,4600,550,92,78,2.8,15,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 15mm T2.9,2012,5700,900,86,114,2.9,15,0,0,1,Full-Frame
Zeiss,Distagon T* 18mm f/3.5 ZE,2009,1395,510,87.122,84.074,3.5,18,0,0,0,Full-Frame
Zeiss,Distagon T* 18mm f/4 ZM,2005,1428,350,71,65,4,18,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 18mm T3.6,2010,3990,900,80,114,3.6,18,0,0,1,Full-Frame
Zeiss,Distagon T* 21mm f/2.8 ZE,2008,1843,600,108.966,87.122,2.8,21,0,0,0,Full-Frame
Zeiss,Milvus 21mm f/2.8 ZE,2015,1843,735,92.456,95.25,2.8,21,0,0,0,Full-Frame
Zeiss,Loxia Distagon T* 21mm f/2.8,2015,1499,394,71.882,61.976,2.8,21,0,0,0,Full-Frame
Zeiss,Biogon T* 21mm f/2.8 ZM,2006,1428,300,75,60,2.8,21,0,0,0,Full-Frame
Zeiss,Biogon T* 21mm f/4.5 C ZM,2005,1201,190,31,53,4.5,21,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 21mm T2.9,2010,3990,1000,80,114,2.9,21,0,0,1,Full-Frame
Zeiss,Distagon T* 25mm f/2.0 ZE,2011,1699,600,98.044,72.898,2,25,0,0,0,Full-Frame
Zeiss,Distagon T* 25mm f/2.8 ZE,2010,1004,480,89.916,59.944,2.8,25,0,0,0,Full-Frame
Zeiss,Batis 25mm f/2.0,2015,1299,335,77.978,81.026,2,25,0,1,0,Full-Frame
Zeiss,Biogon T* 25mm f/2.8 ZM,2005,1201,260,71,53,2.8,25,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 25mm T2.1,2012,4500,900,80,114,2.1,25,0,0,1,Full-Frame
Zeiss,Distagon T* 28mm f/2 ZE,2009,1283,520,92.964,64.008,2,28,0,0,0,Full-Frame
Zeiss,Apo Distagon T* 28mm f/1.4 Otus ZE,2015,4990,1350,134.874,108.966,1.4,28,0,0,0,Full-Frame
Zeiss,Biogon T* 28mm f/2.8 ZM,2005,1087,230,62,53,2.8,28,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 28mm T2.1,2010,3990,1000,80,114,2.1,28,0,0,1,Full-Frame
Zeiss,Distagon T* 35mm f/2 ZE,2006,1117,570,74.93,72.644,2,35,0,0,0,Full-Frame
Zeiss,Distagon T* 35mm f/1.4 ZE,2010,1843,830,119.888,77.978,1.4,35,0,0,0,Full-Frame
Zeiss,Milvus 35mm f/2 ZE,2015,1117,702,83.058,76.962,2,35,0,0,0,Full-Frame
Zeiss,Loxia Biogon T* 35mm f/2,2014,1299,340,59.182,61.976,2,35,0,0,0,Full-Frame
Zeiss,Distagon T* 35mm f/1.4 ZM,2014,2290,381,65.3,2.49,1.4,35,0,0,0,Full-Frame
Zeiss,Biogon T* 35mm f/2 ZM,2005,1087,240,68,52,2,35,0,0,0,Full-Frame
Zeiss,Biogon T* 35mm f/2.8 C ZM,2005,860,200,55,52,2.8,35,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 35mm T2.1,2010,3990,1000,80,114,2.1,35,0,0,1,Full-Frame
Zeiss,Compact Prime CP.2 35mm T1.5 Super Speed,2010,4900,1100,91,114,1.5,35,0,0,1,Full-Frame
Zeiss,Planar T* 50mm f/1.4 ZE,2006,725,350,69.088,66.04,1.4,50,0,0,0,Full-Frame
Zeiss,Makro-Planar T* 50mm f/2 ZE,2006,1283,530,87.884,71.882,2,50,0,0,0,Full-Frame
Zeiss,Milvus 50mm f/1.4 ZE,2015,1199,922,97.536,82.55,1.4,50,0,0,0,Full-Frame
Zeiss,Milvus 50mm f/2M ZE,2015,1283,730,75.184,81.026,2,50,0,0,0,Full-Frame
Zeiss,Loxia Planar T* 50mm f/2,2014,949,320,59.182,61.976,2,50,0,0,0,Full-Frame
Zeiss,Sonnar T* 50mm f/1.5 C ZM,2005,1201,250,63,56,1.5,50,0,0,0,Full-Frame
Zeiss,Planar T* 50mm f/2 ZM,2005,860,210,68,52,2,50,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 50mm T2.1,2010,3990,900,80,114,2.1,50,0,0,1,Full-Frame
Zeiss,Compact Prime CP.2 50mm T1.5 Super Speed,2010,4500,900,80,114,1.5,50,0,0,1,Full-Frame
Zeiss,Compact Prime CP.2 50mm T2.1 Makro,2010,4900,1400,132,134,2.1,50,0,0,1,Full-Frame
Zeiss,Apo Distagon T* 55mm f/1.4 Otus ZE,2013,3990,1030,143.764,92.456,1.4,55,0,0,0,Full-Frame
Zeiss,Planar T* 85mm f/1.4 ZE,2006,1283,670,65.024,78.232,1.4,85,0,0,0,Full-Frame
Zeiss,Apo Planar T* 85mm f/1.4 Otus ZE,2014,4490,1200,123.952,101.092,1.4,85,0,0,0,Full-Frame
Zeiss,Milvus 85mm f/1.4 ZE,2015,1799,1280,113.03,89.916,1.4,85,0,0,0,Full-Frame
Zeiss,Batis 85mm f/1.8,2015,1199,475,91.948,81.026,1.8,85,0,1,0,Full-Frame
Zeiss,Tele-Tessar T* 85mm f/4 ZM,2005,940,310,95,54,4,85,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 85mm T2.1,2010,3990,900,80,114,2.1,85,0,0,1,Full-Frame
Zeiss,Compact Prime CP.2 85mm T1.5 Super Speed,2010,4500,900,80,114,1.5,85,0,0,1,Full-Frame
Zeiss,Makro-Planar T* 100mm f/2 ZE,2006,1843,680,113.03,75.946,2,100,0,0,0,Full-Frame
Zeiss,Milvus 100mm f/2M ZE,2015,1843,843,103.886,80.518,2,100,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 100mm T2.1,2010,4900,1500,132,114,2.1,100,0,0,1,Full-Frame
Zeiss,Apo Sonnar T* 135mm f/2 ZE,2012,2122,930,107.95,84.074,2,135,0,0,0,Full-Frame
Zeiss,Compact Prime CP.2 135mm T2.1,2012,5700,1600,149,114,2.1,135,0,0,1,Full-Frame
Zeiss,Compact Zoom CZ.2 70-200mm T2.9,2012,19900,2800,250,95,2.9,70-200,1,0,1,Full-Frame
Zeiss,Compact Zoom CZ.2 15-30mm T2.9,2014,23900,2600,198,114,2.9,15-30,1,0,1,Full-Frame
Zeiss,Compact Zoom CZ.2 28-80mm T2.9,2010,19900,2500,196,95,2.9,28-80,1,0,1,Full-Frame
Zeiss,Milvus 15mm f/2.8 ZE,2016,2699,880,99,102.3,2.8,15,0,0,0,Full-Frame
Zeiss,Milvus 18mm f/2.8 ZE,2016,2299,721,93,90,2.8,18,0,0,0,Full-Frame
Zeiss,Milvus 135mm f/2 ZE,2016,2199,1123,115,89.7,2,135,0,0,0,Full-Frame
Zeiss,Loxia 85mm f/2.4,2016,1399,594,94.8,62.5,2.4,85,0,0,0,Full-Frame
Zeiss,Batis 18mm f/2.8,2016,1499,330,80,100,2.8,18,0,0,0,Full-Frame
Fujifilm,MK 18-55mm T2.9,2017,3799,980,206.3,85,2.9,18-55,1,0,1,Super 35
Fujifilm,MK 50-135mm T2.9,2017,3799,980,206.3,85,2.9,50-135,1,0,1,Super 35
Sigma,14mm f/1.8 DG HSM Art,2017,,1170,126,95.4,1.8,14,0,0,0,Full-Frame
Sigma,135mm f/1.8 DG HSM Art,2017,,1130,114.9,91.4,1.8,135,0,0,0,Full-Frame
Sigma,24-70mm DG OS HSM Art,2017,,,107.6,88,2.8,24-70,1,1,0,Full-Frame
Sigma,100-400mm f/5-6.3 DG OS HSM Contemporary,2017,,1160,182.3,86.4,6.3,100-400,1,1,0,Full-Frame
